//     opt           x           y       theta         acc         dec          vi          vm          ve
0x00000108    -1624346     -723821           0     5000000     5000000      377875      379223      379223
0x00000108    -1624454     -723817           0     5000000     5000000      379223      380645      380645
0x00000108    -1624556     -723814           0     5000000     5000000      380645      381983      381983
0x00000108    -1624717     -723808           0     5000000     5000000      381983      384087      384087
0x00000108    -1624861     -723803           0     5000000     5000000      384087      385958      385958
0x00000108    -1624941     -723801           0     5000000     5000000      385958      386993      386993
0x00000108    -1625083     -723796           0     5000000     5000000      386993      388825      388825
0x00000108    -1625172     -723793           0     5000000     5000000      388825      389968      389968
0x00000108    -1625276     -723790           0     5000000     5000000      389968      391300      391300
0x00000108    -1625377     -723787           0     5000000     5000000      391300      392589      392589
0x00000108    -1625492     -723783           0     5000000     5000000      392589      394051      394051
0x00000108    -1625583     -723780           0     5000000     5000000      394051      395205      395205
0x00000108    -1625641     -723778           0     5000000     5000000      395205      395939      395939
0x00000108    -1625771     -723774           0     5000000     5000000      395939      397578      397578
0x00000108    -1625953     -723769           0     5000000     5000000      397578      399861      399861
0x00000108    -1626084     -723765           0     5000000     5000000      399861      401496      401496
0x00000108    -1626205     -723762           0     5000000     5000000      401496      403001      403001
0x00000108    -1626338     -723758           0     5000000     5000000      403001      404648      404648
0x00000108    -1626512     -723753           0     5000000     5000000      404648      406794      406794
0x00000108    -1626638     -723750           0     5000000     5000000      406794      408340      408340
0x00000108    -1626786     -723746           0     5000000     5000000      408340      410149      410149
0x00000108    -1626931     -723742           0     5000000     5000000      410149      411913      411913
0x00000108    -1627067     -723739           0     5000000     5000000      411913      413561      413561
0x00000108    -1627209     -723735           0     5000000     5000000      413561      415275      415275
0x00000108    -1627338     -723732           0     5000000     5000000      415275      416826      416826
0x00000108    -1627459     -723729           0     5000000     5000000      416826      418275      418275
0x00000108    -1627512     -723728           0     5000000     5000000      418275      418908      418908
0x00000108    -1627573     -723727           0     5000000     5000000      418908      419636      419636
0x00000108    -1627627     -723725           0     5000000     5000000      419636      420279      420279
0x00000108    -1627689     -723724           0     5000000     5000000      420279      421016      421016
0x00000108    -1627726     -723723           0     5000000     5000000      421016      421456      421456
0x00000108    -1627787     -723722           0     5000000     5000000      421456      422179      422179
0x00000108    -1627848     -723720           0     5000000     5000000      422179      422901      422901
0x00000108    -1627934     -723719           0     5000000     5000000      422901      423917      423917
0x00000108    -1628059     -723716           0     5000000     5000000      423917      425389      425389
0x00000108    -1628249     -723712           0     5000000     5000000      425389      427617      427617
0x00000108    -1628556     -723706           0     5000000     5000000      427617      431192      431192
0x00000108    -1628724     -723703           0     5000000     5000000      431192      433136      433136
0x00000108    -1628948     -723699           0     5000000     5000000      433136      435715      435715
0x00000108    -1629218     -723694           0     5000000     5000000      435715      438803      438803
0x00000108    -1629401     -723691           0     5000000     5000000      438803      440883      440883
0x00000108    -1629701     -723686           0     5000000     5000000      440883      444273      444273
0x00000108    -1629887     -723683           0     5000000     5000000      444273      446362      446362
0x00000108    -1630114     -723680           0     5000000     5000000      446362      448897      448897
0x00000108    -1630248     -723678           0     5000000     5000000      448897      450388      450388
0x00000108    -1630523     -723675           0     5000000     5000000      450388      453430      453430
0x00000108    -1630847     -723671           0     5000000     5000000      453430      456989      456989
0x00000108    -1631238     -723667           0     5000000     5000000      456989      461248      461248
0x00000108    -1631610     -723664           0     5000000     5000000      461248      465263      465263
0x00000108    -1632017     -723661           0     5000000     5000000      465263      469617      469617
0x00000108    -1632406     -723658           0     5000000     5000000      469617      473740      473740
0x00000108    -1632875     -723656           0     5000000     5000000      473740      478665      478665
0x00000108    -1633545     -723654           0     5000000     5000000      478665      485613      485613
0x00000108    -1634033     -723654           0     5000000     5000000      485613      490612      490612
0x00000108    -2412933     -723654           0     5000000     5000000      490612      500000       50000
0x00000108    -2412933    -1271654           0     5000000     5000000       50000      500000       50000
0x00000108    -1634033    -1271654           0     5000000     5000000       50000      500000      490469
0x00000108    -1633545    -1271653           0     5000000     5000000      490469      490469      485468
0x00000108    -1632875    -1271651           0     5000000     5000000      485468      485468      478518
0x00000108    -1632406    -1271649           0     5000000     5000000      478518      478518      473592
0x00000108    -1632017    -1271647           0     5000000     5000000      473592      473592      469467
0x00000108    -1631610    -1271644           0     5000000     5000000      469467      469467      465112
0x00000108    -1631238    -1271640           0     5000000     5000000      465112      465112      461096
0x00000108    -1630847    -1271636           0     5000000     5000000      461096      461096      456836
0x00000108    -1630523    -1271632           0     5000000     5000000      456836      456836      453276
0x00000108    -1630248    -1271629           0     5000000     5000000      453276      453276      450233
0x00000108    -1630114    -1271627           0     5000000     5000000      450233      450233      448742
0x00000108    -1629887    -1271624           0     5000000     5000000      448742      448742      446206
0x00000108    -1629701    -1271621           0     5000000     5000000      446206      446206      444117
0x00000108    -1629401    -1271616           0     5000000     5000000      444117      444117      440726
0x00000108    -1629218    -1271613           0     5000000     5000000      440726      440726      438645
0x00000108    -1628948    -1271609           0     5000000     5000000      438645      438645      435557
0x00000108    -1628724    -1271605           0     5000000     5000000      435557      435557      432978
0x00000108    -1628556    -1271601           0     5000000     5000000      432978      432978      431033
0x00000108    -1628249    -1271595           0     5000000     5000000      431033      431033      427457
0x00000108    -1628059    -1271591           0     5000000     5000000      427457      427457      425229
0x00000108    -1627934    -1271589           0     5000000     5000000      425229      425229      423757
0x00000108    -1627848    -1271587           0     5000000     5000000      423757      423757      422741
0x00000108    -1627787    -1271585           0     5000000     5000000      422741      422741      422018
0x00000108    -1627726    -1271584           0     5000000     5000000      422018      422018      421295
0x00000108    -1627689    -1271583           0     5000000     5000000      421295      421295      420856
0x00000108    -1627627    -1271582           0     5000000     5000000      420856      420856      420119
0x00000108    -1627573    -1271581           0     5000000     5000000      420119      420119      419475
0x00000108    -1627512    -1271579           0     5000000     5000000      419475      419475      418748
0x00000108    -1627459    -1271578           0     5000000     5000000      418748      418748      418114
0x00000108    -1627338    -1271575           0     5000000     5000000      418114      418114      416665
0x00000108    -1627209    -1271572           0     5000000     5000000      416665      416665      415114
0x00000108    -1627067    -1271568           0     5000000     5000000      415114      415114      413400
0x00000108    -1626931    -1271565           0     5000000     5000000      413400      413400      411752
0x00000108    -1626786    -1271561           0     5000000     5000000      411752      411752      409987
0x00000108    -1626638    -1271557           0     5000000     5000000      409987      409987      408178
0x00000108    -1626512    -1271554           0     5000000     5000000      408178      408178      406632
0x00000108    -1626338    -1271549           0     5000000     5000000      406632      406632      404487
0x00000108    -1626205    -1271545           0     5000000     5000000      404487      404487      402839
0x00000108    -1626084    -1271542           0     5000000     5000000      402839      402839      401335
0x00000108    -1625953    -1271538           0     5000000     5000000      401335      401335      399699
0x00000108    -1625771    -1271533           0     5000000     5000000      399699      399699      397416
0x00000108    -1625641    -1271529           0     5000000     5000000      397416      397416      395777
0x00000108    -1625583    -1271527           0     5000000     5000000      395777      395777      395044
0x00000108    -1625492    -1271524           0     5000000     5000000      395044      395044      393890
0x00000108    -1625377    -1271521           0     5000000     5000000      393890      393890      392428
0x00000108    -1625276    -1271517           0     5000000     5000000      392428      392428      391139
0x00000108    -1625172    -1271514           0     5000000     5000000      391139      391139      389807
0x00000108    -1625083    -1271511           0     5000000     5000000      389807      389807      388664
0x00000108    -1624941    -1271507           0     5000000     5000000      388664      388664      386833
0x00000108    -1624861    -1271504           0     5000000     5000000      386833      386833      385797
0x00000108    -1624717    -1271499           0     5000000     5000000      385797      385797      383927
0x00000108    -1624556    -1271494           0     5000000     5000000      383927      383927      381824
0x00000108    -1624454    -1271490           0     5000000     5000000      381824      381824      380486
0x00000108    -1624346    -1271486           0     5000000     5000000      380486      380486      379064
0x00000108    -1624244    -1271482           0     5000000     5000000      379064      379064      377716
0x00000108    -1624080    -1271476           0     5000000     5000000      377716      377716      375539
0x00000108    -1623964    -1271472           0     5000000     5000000      375539      375539      373991
0x00000108    -1623875    -1271469           0     5000000     5000000      373991      373991      372800
0x00000108    -1623774    -1271465           0     5000000     5000000      372800      372800      371443
0x00000108    -1623673    -1271461           0     5000000     5000000      371443      371443      370081
0x00000108    -1623610    -1271459           0     5000000     5000000      370081      370081      369228
0x00000108    -1623500    -1271455           0     5000000     5000000      369228      369228      367736
0x00000108    -1622837    -1271428           0     5000000     5000000      367736      367736      358608
0x00000108    -1622245    -1271402           0     5000000     5000000      358608      358608      350257
0x00000108    -1621812    -1271383           0     5000000     5000000      350257      350257      344020
0x00000108    -1621313    -1271360           0     5000000     5000000      344020      344020      336689
0x00000108    -1620797    -1271334           0     5000000     5000000      336689      336689      328937
0x00000108    -1620248    -1271306           0     5000000     5000000      328937      328937      320484
0x00000108    -1619690    -1271276           0     5000000     5000000      320484      320484      311656
0x00000108    -1619173    -1271247           0     5000000     5000000      311656      311656      303249
0x00000108    -1618578    -1271212           0     5000000     5000000      303249      303249      293257
0x00000108    -1617956    -1271174           0     5000000     5000000      293257      293257      282435
0x00000108    -1617457    -1271143           0     5000000     5000000      282435      282435      273459
0x00000108    -1617010    -1271113           0     5000000     5000000      273459      273459      265141
0x00000108    -1616628    -1271088           0     5000000     5000000      265141      265141      257837
0x00000108    -1615962    -1271041           0     5000000     5000000      257837      257837      244560
0x00000108    -1615571    -1271013           0     5000000     5000000      244560      244560      236410
0x00000108    -1614962    -1270967           0     5000000     5000000      236410      236410      223136
0x00000108    -1614490    -1270931           0     5000000     5000000      223136      223136      212273
0x00000108    -1613892    -1270883           0     5000000     5000000      212273      212273      197661
0x00000108    -1613336    -1270838           0     5000000     5000000      197661      197661      183030
0x00000108    -1612532    -1270769           0     5000000     5000000      183030      183030      159499
0x00000108    -1611423    -1270669           0     5000000     5000000      159499      159499      119624
0x00000108    -1610247    -1270556           0     5000000     5000000      119624      119624       50000
0x0000010C    -1611033    -1262595    13830053     5000000     5000000       50000       50000       50000
0x0000010C    -1610033    -1265423    70524635     5000000     5000000       50000       50000       50000
0x00000108    -1605033    -1073654           0     5000000     5000000       50000      500000       50000
0x00000108    -1608033    -1073654           0     5000000     5000000       50000      180277      180277
0x0000010C    -1608033    -1049654   -90000026     5000000     5000000      180277      312500      312500
0x00000108    -1632033     -945654           0     5000000     5000000      312500      500000      312500
0x0000010C    -1608033     -945654   -90000026     5000000     5000000      312500      312500      180277
0x00000108    -1605033     -921654           0     5000000     5000000      180277      180277       50000
0x00000108    -1605033     -729884           0     5000000     5000000       50000      500000       50000
0x0000010C    -1610033     -729884    70528800     5000000     5000000       50000       50000       50000
0x00000328    -1608367     -725170           0     5000000     5000000       50000       50000       50000
